state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7186,112,12862.23129,1.55858614
Alabama,21698,312,9719.845543,1.437920546
Alabama,2342,59,9487.158713,2.519214347
Alabama,2666,64,11904.97455,2.40060015
Alabama,6906,139,11942.72473,2.012742543
Alabama,1237,42,12246.31225,3.395311237
Alabama,2223,71,11430.48128,3.193882141
Alabama,14668,325,12911.40355,2.215707663
Alabama,3696,124,11114.4524,3.354978355
Alabama,1866,45,7123.22492,2.411575563
Alabama,4449,115,10013.95516,2.584850528
Alabama,613,25,4869.330368,4.078303426
Alabama,3524,61,14918.2965,1.730987514
Alabama,1587,57,11990.93313,3.59168242
Alabama,1511,43,10134.13816,2.845797485
Alabama,5614,123,10725.61232,2.190951193
Alabama,6361,139,11514.99792,2.185191008
Alabama,1127,30,9339.521008,2.661934339
Alabama,1102,29,10334.80259,2.631578947
Alabama,4226,119,11406.5157,2.815901562
Alabama,1546,57,11225.67528,3.686934023
Alabama,9881,199,11795.67377,2.013966198
Alabama,4911,114,9987.391198,2.321319487
Alabama,3600,154,9678.460049,4.277777778
Alabama,8943,188,12505.4186,2.10220284
Alabama,10283,210,12662.38964,2.042205582
Alabama,3989,79,10889.08907,1.980446227
Alabama,14091,361,13778.50354,2.561918955
Alabama,2153,62,13206.96847,2.87970274
Alabama,4289,82,13675.78598,1.911867568
Alabama,2563,81,9756.00472,3.160358954
Alabama,932,34,11490.56836,3.64806867
Alabama,2259,78,15418.74275,3.452855246
Alabama,1938,43,11264.16739,2.21878225
Alabama,10730,286,10133.92267,2.665424045
Alabama,6877,112,13320.80735,1.62861713
Alabama,80586,1549,12236.4567,1.922170104
Alabama,1458,37,10561.3908,2.537722908
Alabama,9537,245,10284.80842,2.568942015
Alabama,3091,100,9388.288179,3.235198965
Alabama,16190,173,9839.433093,1.06856084
Alabama,10142,156,10253.24774,1.538158154
Alabama,1418,54,14579.47769,3.808180536
Alabama,1624,50,8988.266549,3.078817734
Alabama,35449,517,9506.072527,1.458433242
Alabama,2503,65,13269.3633,2.59688374
Alabama,3200,102,10771.14679,3.1875
Alabama,12379,228,12791.65892,1.841828904
Alabama,41763,822,10106.9674,1.968249407
Alabama,1788,41,8623.932861,2.293064877
Alabama,25015,606,11044.83279,2.422546472
Alabama,14556,283,12162.53478,1.944215444
Alabama,0,0,,
Alabama,1085,26,12159.58758,2.396313364
Alabama,2361,62,11846.46262,2.62600593
Alabama,3138,78,9476.354412,2.485659656
Alabama,1858,43,8177.097087,2.314316469
Alabama,4522,41,7801.797761,0.906678461
Alabama,25485,254,11706.36926,0.996664705
Alabama,10107,247,11291.22352,2.443850796
Alabama,1057,32,8505.673131,3.02743614
Alabama,8411,181,10516.64208,2.151943883
Alabama,4096,155,10146.90217,3.784179688
Alabama,26085,457,12459.69764,1.751964731
Alabama,0,0,,
Alabama,7310,278,11508.00523,3.803009576
Alabama,1702,39,10425.08882,2.291421857
Alabama,1272,30,12262.60484,2.358490566
Alabama,2810,73,11892.16641,2.597864769
Alaska,369,3,11057.83638,0.81300813
Alaska,710,1,12602.05893,0.14084507
Alaska,30851,179,10712.15278,0.580208097
Alaska,3905,22,21238.98619,0.563380282
Alaska,0,0,0,
Alaska,198,0,4925.373134,0
Alaska,437,3,6473.115094,0.686498856
Alaska,245,0,9077.436087,0
Alaska,111,0,5293.276109,0
Alaska,230,2,4678.600488,0.869565217
Alaska,8048,43,8309.843158,0.534294235
Alaska,31,0,1225.296443,0
Alaska,1474,5,4609.995621,0.339213026
Alaska,4588,22,7814.948559,0.47951177
Alaska,667,2,4798.215956,0.299850075
Alaska,1127,6,8670.564702,0.532386868
Alaska,1315,4,15816.69473,0.30418251
Alaska,11781,57,10876.40906,0.483829896
Alaska,378,0,3778.488605,0
Alaska,1087,4,11055.73637,0.367985281
Alaska,623,2,8174.780213,0.321027287
Alaska,174,1,5327.617881,0.574712644
Alaska,167,1,2692.245688,0.598802395
Alaska,371,1,4368.303309,0.269541779
Alaska,21,0,1775.147929,0
Alaska,751,5,10895.11098,0.665778961
Alaska,292,0,,0
Alaska,0,0,0,
Alaska,61,0,2438.04956,0
Alaska,89,2,15371.32988,2.247191011
Alaska,368,4,7036.328872,1.086956522
Arizona,11418,433,15883.26123,3.792257839
Arizona,12092,290,9602.769969,2.398279854
Arizona,17875,331,12458.52965,1.851748252
Arizona,6952,229,12869.78415,3.29401611
Arizona,5633,83,14504.2099,1.473459968
Arizona,577,10,6074.96315,1.733102253
Arizona,2479,80,11744.36233,3.227107705
Arizona,552494,10112,12317.56979,1.83024612
Arizona,23159,740,10914.73789,3.195302042
Arizona,16459,542,14838.08734,3.293031168
Arizona,0,0,,
Arizona,116850,2413,11157.48525,2.06504065
Arizona,53175,903,11490.11753,1.698166432
Arizona,8051,180,17314.72321,2.235747112
Arizona,0,0,,
Arizona,19352,511,8231.42591,2.640553948
Arizona,37255,843,17426.2233,2.262783519
Arkansas,2139,37,12232.64326,1.729780271
Arkansas,2044,35,10398.33138,1.712328767
Arkansas,3211,104,7657.636173,3.238866397
Arkansas,29471,419,10557.7468,1.421736622
Arkansas,3893,80,10400.19235,2.05497046
Arkansas,1434,32,13323.42284,2.231520223
Arkansas,412,3,7939.872808,0.72815534
